OTU	DI-1_250.fasta_good	DI-2_250.fasta_good	DI-3_250.fasta_good	DI-4_250.fasta_good	DI-5_250.fasta_good	Mock-25-1_250.fasta_good	Mock-25-2_250.fasta_good	Mock-25-3_250.fasta_good	Mock-25-4_250.fasta_good	Mock-25-5_250.fasta_good	Mock50-1_250.fasta_good	Mock50-2_250.fasta_good	Mock50-3_250.fasta_good	Mock50-4_250.fasta_good	Mock50-5_250.fasta_good	Mock75-1_250.fasta_good	Mock75-2_250.fasta_good	Mock75-3_250.fasta_good	Mock75-4_250.fasta_good	AeMBR-25-2_250.fasta_good	AeMBR-25-3_250.fasta_good	AeMBR-25-4_250.fasta_good	AeMBR-25_1_250.fasta_good	AeMBR-50-1_250.fasta_good	AeMBR-50-2_250.fasta_good	AeMBR-50-3_250.fasta_good	AeMBR-50-4_250.fasta_good	AeMBR-50-5_250.fasta_good	AeMBR75-1_250.fasta_good	AeMBR75-2_250.fasta_good	AeMBR75-3_250.fasta_good	AeMBR75-4_250.fasta_good	AeMBR75-5_250.fasta_good	AnMBR-25-1_250.fasta_good	AnMBR-25-2_250.fasta_good	AnMBR-25-3_250.fasta_good	AnMBR-25-4_250.fasta_good	AnMBR-25-5_250.fasta_good	AnMBR-50-1_250.fasta_good	AnMBR-50-2_250.fasta_good	AnMBR-50-3_250.fasta_good	AnMBR-50-4_250.fasta_good	AnMBR-50-5_250.fasta_good	AnMBR-75-1_250.fasta_good	AnMBR-75-2_250.fasta_good	AnMBR-75-3_250.fasta_good	AnMBR-75-4_250.fasta_good	AnMBR-75-5_250.fasta_good
OTU59	0	3	0	1	1	0	0	0	4	0	0	0	0	2	0	0	0	0	0	6	0	3	3	0	0	0	0	1	1	1	0	2	0	6	6	3	9	0	3	1	5	0	0	0	1	0	1	0
OTU60	4	3	0	0	0	1	0	0	0	0	2	1	1	0	1	6	0	4	0	0	0	0	0	6	2	2	2	2	0	4	4	0	0	2	0	0	0	0	1	2	4	4	2	5	3	5	0	0
OTU61	1	0	1	0	3	140	70	162	306	92	131	187	276	261	34	207	264	112	225	6	6	3	8	18	6	2	0	2	5	3	0	2	3	1	7	8	3	3	2	2	9	6	1	1	18	2	36	17
OTU62	15	7	14	8	12	4	2	4	5	5	4	0	7	5	2	4	0	3	0	30	14	25	51	32	8	9	13	7	16	18	17	3	29	8	7	1	48	26	15	11	71	47	1	65	36	35	119	34
OTU63	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	1	0	2	1	0	1	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU64	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3	0	0	1	0	1	2	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	2
OTU67	1	9	7	5	2	0	0	1	2	5	0	0	0	0	1	3	0	1	0	8	6	3	5	9	1	2	4	1	3	5	0	2	5	1	2	0	4	15	6	0	5	2	3	4	1	2	6	1
OTU69	128	155	112	148	107	120	161	261	200	196	117	208	138	179	137	193	140	235	157	166	281	127	177	144	261	157	167	47	208	212	70	68	140	233	166	339	402	159	324	235	340	257	149	141	313	324	321	430
OTU72	130	471	440	303	452	459	396	1175	437	235	452	633	376	426	186	410	527	447	152	1237	682	175	581	865	604	828	414	255	670	755	194	169	139	1146	1816	1038	522	474	1140	3351	459	303	232	798	480	734	1646	794
OTU73	8	5	10	2	1	3	3	7	8	3	2	1	2	8	1	4	1	5	1	10	4	0	5	3	2	4	4	0	2	5	3	1	2	3	5	6	5	2	5	20	2	1	6	6	1	2	17	10
OTU75	30	43	31	39	20	17	32	17	11	5	9	25	11	6	5	38	21	42	13	51	105	12	56	52	113	114	47	25	52	44	18	32	42	76	161	84	55	27	41	62	61	43	44	223	63	104	140	73
OTU76	2	7	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	11	6	1	6	1	0	0	0	0	1	3	0	0	0	8	23	6	2	2	0	1	1	2	1	6	2	3	4	0
OTU77	5	3	4	1	1	17	20	17	4	7	21	31	58	5	39	15	9	46	9	5	15	10	10	6	1	1	1	0	3	2	1	1	4	1	0	0	3	5	1	9	15	7	27	25	12	10	2	5
OTU78	12	24	26	17	11	403	497	426	316	43	101	293	98	302	28	64	54	179	108	59	88	6	32	14	11	13	2	1	36	14	19	20	8	30	130	36	18	14	14	83	16	14	74	27	6	33	49	27
OTU79	3	2	5	3	4	2	2	1	2	14	6	7	1	4	19	5	3	7	0	9	5	2	5	14	2	2	3	0	3	1	0	0	8	2	2	3	7	8	0	0	4	1	0	1	1	2	8	3
OTU80	266	257	87	156	211	39	28	25	85	46	33	61	63	88	39	35	23	47	14	332	254	325	349	378	190	215	230	176	256	167	131	117	417	265	393	312	494	364	359	207	270	165	114	74	55	171	257	245
OTU81	1543	1797	1470	2324	1771	779	918	855	659	854	511	1763	711	679	841	1295	451	954	776	1417	2337	1156	1571	1068	1298	530	745	329	756	659	330	361	951	1244	1273	1140	1931	1516	1097	682	1687	1231	749	1609	1363	1670	2491	1567
OTU82	6	5	2	6	1	8	1	7	3	2	0	9	2	6	1	4	0	10	1	16	5	2	3	3	2	1	4	2	12	4	1	3	4	10	22	38	16	23	5	8	20	3	8	15	7	8	5	23
OTU83	1	1	0	1	3	1	2	4	3	2	2	9	11	2	6	1	0	10	2	3	7	8	4	2	3	0	2	0	3	0	0	1	0	1	1	0	1	1	0	0	5	1	11	7	3	1	1	1
